region,institutions_2020,institutions_2024,change
Івано-Франківська,13,11.0,-2.0
Волинська,10,7.0,-3.0
Вінницька,17,11.0,-6.0
Дніпропетровська,51,26.0,-25.0
Донецька,21,,
Житомирська,12,4.0,-8.0
Закарпатська,9,7.0,-2.0
Запорізька,16,13.0,-3.0
Київська,12,8.0,-4.0
Кіровоградська,9,8.0,-1.0
Луганська,10,,
Львівська,33,21.0,-12.0
Миколаївська,11,8.0,-3.0
Одеська,31,19.0,-12.0
Полтавська,13,8.0,-5.0
Рівненська,11,8.0,-3.0
Сумська,7,5.0,-2.0
Тернопільська,11,6.0,-5.0
Харківська,55,28.0,-27.0
Херсонська,13,,
Хмельницька,18,11.0,-7.0
Черкаська,15,8.0,-7.0
Чернівецька,11,4.0,-7.0
Чернігівська,9,6.0,-3.0
м. Київ,97,83.0,-14.0
