Галузь знань,Уперше прийняті,Кількість студентів,З них жінок,З них чоловіків,Частка жінок (%),Частка чоловіків (%)
КУЛЬТУРА І МИСТЕЦТВО,14297.0,49481.0,35130.0,14351.0,71.0,29.0
ГУМАНІТАРНІ НАУКИ,9563.0,45895.0,35861.0,10034.0,78.14,21.86
БОГОСЛОВ'Я,216.0,1221.0,231.0,990.0,18.92,81.08
СОЦІАЛЬНІ ТА ПОВЕДІНКОВІ НАУКИ,13804.0,67752.0,47236.0,20516.0,69.72,30.28
ЖУРНАЛІСТИКА,2445.0,13159.0,10368.0,2791.0,78.79,21.21
УПРАВЛІННЯ ТА АДМІНІСТРУВАННЯ,29124.0,135919.0,76480.0,59439.0,56.27,43.73
ПРАВО,15833.0,79458.0,44632.0,34826.0,56.17,43.83
БІОЛОГІЯ,832.0,4997.0,3793.0,1204.0,75.91,24.09
ПРИРОДНИЧІ НАУКИ,4158.0,18669.0,8081.0,10588.0,43.29,56.71
МАТЕМАТИКА ТА СТАТИСТИКА,1405.0,5996.0,2244.0,3752.0,37.42,62.58
ІНФОРМАЦІЙНІ ТЕХНОЛОГІЇ,26758.0,102561.0,17574.0,84987.0,17.14,82.86
МЕХАНІЧНА ІНЖЕНЕРІЯ,6798.0,25362.0,2350.0,23012.0,9.27,90.73
ЕЛЕКТРИЧНА ІНЖЕНЕРІЯ,6628.0,24263.0,1967.0,22296.0,8.11,91.89
АВТОМАТИЗАЦІЯ ТА ПРИЛАДОБУДУВАННЯ,3669.0,15079.0,1784.0,13295.0,11.83,88.17
ХІМІЧНА ІНЖЕНЕРІЯ ТА БІОІНЖЕНЕРІЯ ,1675.0,8394.0,4648.0,3746.0,55.37,44.63
"ЕЛЕКТРОНІКА, АВТОМАТИЗАЦІЯ ТА ЕЛЕКТРОННІ КОМУНІКАЦІЇ",2985.0,11108.0,1259.0,9849.0,11.33,88.67
ВИРОБНИЦТВО ТА ТЕХНОЛОГІЇ,7002.0,24317.0,10955.0,13362.0,45.05,54.95
АРХІТЕКТУРА ТА БУДІВНИЦТВО,9753.0,37171.0,11456.0,25715.0,30.82,69.18
АГРАРНІ НАУКИ ТА ПРОДОВОЛЬСТВО,11958.0,42599.0,8379.0,34220.0,19.67,80.33
ВЕТЕРИНАРІЯ,1775.0,8354.0,5105.0,3249.0,61.11,38.89
ОХОРОНА ЗДОРОВ'Я,17657.0,77834.0,56688.0,21146.0,72.83,27.17
СОЦІАЛЬНА РОБОТА,3274.0,11439.0,7452.0,3987.0,65.15,34.85
СФЕРА ОБСЛУГОВУВАННЯ,4416.0,25186.0,16806.0,8380.0,66.73,33.27
"ВОЄННІ НАУКИ, НАЦІОНАЛЬНА БЕЗПЕКА, БЕЗПЕКА ДЕРЖАВНОГО КОРДОНУ",670.0,1813.0,531.0,1282.0,29.29,70.71
ЦИВІЛЬНА БЕЗПЕКА,4455.0,18019.0,7587.0,10432.0,42.11,57.89
ТРАНСПОРТ,10155.0,38031.0,5003.0,33028.0,13.16,86.84
ПУБЛІЧНЕ УПРАВЛІННЯ ТА АДМІНІСТРУВАННЯ,1131.0,12678.0,6931.0,5747.0,54.67,45.33
МІЖНАРОДНІ ВІДНОСИНИ,3909.0,20987.0,13409.0,7578.0,63.89,36.11
