"Регіон","до 14 років/up to 14 years ","15 років/years","16 років/years","17 років/years","18 років/years","19 років/years","20 років/years","21 рік/years","22 роки/years","23 роки/years","24 роки/years","25 років/years","26 років/years","27 років/years","28 років/years","29 років/years","30 років/years","31 рік/years","32 роки/years","33 роки/years","34 роки/years","35-39 років/years","40-44 років/years","45-49 років/years","50-54 роки/years","55-59 років/years","60 років і більше/years and older", "Регіон_EN",
Україна,956407,25,2595,5288,83785,133120,141077,153704,115713,61517,27832,17901,15560,13109,11995,10958,10111,9323,8897,8825,8562,8771,42627,31426,20107,10207,2850,522,Ukraine
Вінницька,31063,2,134,255,3391,4992,5395,5458,4036,1900,680,437,380,305,279,263,229,209,175,179,184,157,809,569,392,187,56,10,Vinnytsya
Волинська,23943,1,136,331,2941,4144,4053,3651,2276,863,388,348,366,338,263,255,242,222,195,206,172,182,918,698,475,219,52,8,Volyn
Дніпропетровська,67050,2,268,481,4887,8874,9848,10647,7882,4510,2065,1299,1113,923,813,789,709,749,629,632,702,608,3472,2580,1575,754,199,40,Dnipropetrovsk
Донецька,к/с,к/с,к/с,к/с,к/с,к/с,к/с,к/с,к/с,к/с,к/с,к/с,к/с,к/с,к/с,к/с,к/с,к/с,к/с,к/с,к/с,к/с,к/с,к/с,к/с,к/с,к/с,к/с,Donetsk
Житомирська,18310,– ,– ,10,1656,2592,2873,2869,2076,978,382,287,322,262,229,227,210,211,214,202,202,193,928,681,416,219,62,9,Zhytomyr
Закарпатська,19318,2,97,212,2181,3031,3228,2936,2192,948,413,281,237,209,187,182,163,172,151,148,156,161,784,567,364,249,61,6,Zakarpattya
Запорізька,43020,– ,137,282,1557,2947,3527,4764,4275,2988,1825,1193,995,844,839,794,801,727,742,768,744,772,4050,3361,2311,1294,423,60,Zaporizhzhya
Івано-Франківська,31842,1,244,343,3721,5198,5249,5523,3868,1841,794,511,400,283,288,255,214,215,181,196,193,191,861,625,403,199,38,7,Ivano-Frankivsk
Київська,17107,– ,– ,8,827,1459,1886,2207,1781,1275,607,424,400,382,364,301,293,309,323,308,301,281,1321,927,608,371,124,20,Kyiv
Кіровоградська,13704,– ,5,19,754,1376,1640,1796,1446,920,519,353,296,256,253,231,220,246,192,232,213,224,977,756,468,237,66,9,Kirovohrad
Луганська,– ,– ,– ,– ,– ,– ,– ,– ,– ,– ,– ,– ,– ,– ,– ,– ,– ,– ,– ,– ,– ,– ,– ,– ,– ,– ,– ,– ,Luhansk
Львівська,95382,1,132,354,11907,16871,16707,17058,11466,5262,2084,1451,1368,1101,937,846,765,577,576,529,476,452,2006,1353,705,315,73,10,Lviv
Миколаївська,18555,– ,54,106,989,1548,1668,2091,1868,948,488,366,389,375,390,384,351,364,375,351,324,376,1873,1349,878,490,130,30,Mykolayiv
Одеська,59578,– ,67,247,5451,8609,9251,10197,7669,3622,1737,1072,848,729,665,666,549,522,537,485,457,540,2402,1663,984,449,134,26,Odesa
Полтавська,36328,2,139,260,2785,4391,4646,4568,3811,2644,1309,824,624,550,519,502,439,447,439,454,422,451,2284,1659,1153,746,220,40,Poltava
Рівненська,22994,1,161,236,2257,3337,3139,3168,2112,1025,540,402,497,443,443,375,386,344,292,284,265,275,1214,878,594,241,77,8,Rivne
Сумська,16530,– ,– ,1,974,1901,2203,2616,2117,1128,538,383,302,244,222,220,204,189,184,195,187,211,970,740,495,253,48,5,Sumy
Тернопільська,29016,– ,– ,15,2527,3793,4696,4795,3526,1761,799,611,525,516,426,371,313,284,302,288,257,267,1202,856,549,260,64,13,Ternopil
Харківська,91410,2,23,86,5879,10853,11716,15921,13113,7155,3271,2016,1600,1325,1145,1018,1090,899,883,871,901,876,4373,3147,2055,933,216,43,Kharkiv 
Херсонська,к/с,к/с,к/с,к/с,к/с,к/с,к/с,к/с,к/с,к/с,к/с,к/с,к/с,к/с,к/с,к/с,к/с,к/с,к/с,к/с,к/с,к/с,к/с,к/с,к/с,к/с,к/с,к/с,Kherson
Хмельницька,22159,– ,72,128,1717,2799,3261,3690,2848,1441,710,472,445,358,326,276,237,214,211,223,206,220,939,696,408,219,37,6,Khmelnytskiy
Черкаська,24291,1,292,520,2137,3003,3109,3136,2541,1334,645,490,475,394,409,347,363,340,326,292,281,332,1415,985,675,342,96,11,Cherkasy
Чернівецька,17565,– ,36,71,2193,3250,3283,3074,2201,1070,501,240,197,134,144,111,77,67,55,76,65,65,275,174,115,67,18,6,Chernivtsi
Чернігівська,12594,– ,– ,1,868,1608,1771,1823,1384,661,300,255,241,204,221,190,177,151,145,159,160,172,868,651,368,168,42,6,Chernihiv
м. Київ,243463,10,598,1322,22146,36461,37802,41531,31052,17163,7202,4170,3516,2921,2611,2340,2062,1852,1760,1719,1689,1742,8594,6426,4056,1966,603,149,city of Kyiv
