"Регіон","до 14 років/up to 14 years ","15 років/years","16 років/years","17 років/years","18 років/years","19 років/years","20 років/years","21 рік/years","22 роки/years","23 роки/years","24 роки/years","25 років/years","26 років/years","27 років/years","28 років/years","29 років/years","30 років/years","31 рік/years","32 роки/years","33 роки/years","34 роки/years","35-39 років/years","40-44 років/years","45-49 років/years","50-54 роки/years","55-59 років/years","60 років і більше/years and older", "Регіон_EN",
Україна,0.4684728550673489,0,0.38860103626943004,0.5208712183832038,0.5268428742196839,0.4437822244479084,0.456186701893439,0.453992471709913,0.455456656577777,0.47317834098841105,0.48566773278619274,0.520398386283409,0.5400521884693024,0.5364164432529044,0.5414801409658063,0.5428406466512702,0.5275758335422411,0.5096989966555184,0.49191685912240185,0.4888702225955481,0.4701721606833044,0.45272244355909697,0.45549341722008624,0.445573229960344,0.4147045420021267,0.41283313529112203,0.4453981878874583,0.49947201689545934,Ukraine
Вінницька,0.44809007039926807,-,0.375,0.47248576850094876,0.4971857410881801,0.441,0.43218105720043404,0.430534856764365,0.43774703557312256,0.4781277340332458,0.4405570652173913,0.4617668893838159,0.5280728376327769,0.4744897959183674,0.5434782608695652,0.5555555555555556,0.5076923076923077,0.47701149425287354,0.4294478527607362,0.5,0.42948717948717946,0.37058823529411766,0.39502762430939226,0.4583333333333333,0.4181184668989547,0.3860759493670886,0.5,0.5357142857142857,Vinnytsya
Волинська,0.4442886159203018,-,-,0.4299363057324841,0.43441636582430804,0.39864140150160887,0.4247601918465228,0.43467336683417085,0.44143867199508147,0.47346752058554437,0.491588785046729,0.5296803652968036,0.5555555555555556,0.5786163522012578,0.567741935483871,0.5043478260869565,0.4270833333333333,0.4838709677419355,0.410958904109589,0.3978494623655914,0.4,0.4387755102040816,0.44527363184079605,0.43272727272727274,0.43783783783783786,0.38571428571428573,0.4074074074074074,0.3125,Volyn
Дніпропетровська,0.4788897623510915,-,0.2727272727272727,0.45707656612529,0.4742074153680817,0.43654921974678573,0.4501272853506133,0.47443762781186094,0.48103286384976524,0.5255294117647059,0.5344744065880833,0.5622452179366573,0.5765407554671969,0.5557872784150156,0.5568022440392707,0.5437062937062938,0.4930313588850174,0.5067961165048543,0.49391304347826087,0.48576512455516013,0.4743362831858407,0.40847457627118644,0.4325411334552102,0.41703786191536746,0.3696911196911197,0.36511627906976746,0.40993788819875776,0.4823529411764706,Dnipropetrovsk
Донецька,0.5086863095021306,-,0.5,0.5854838709677419,0.5994208494208494,0.49768270944741533,0.5134431916738942,0.5001511030522816,0.4958397534668721,0.5103448275862069,0.5055880787653007,0.5372727272727272,0.5494011976047904,0.5677655677655677,0.5944700460829493,0.5846153846153846,0.5591054313099042,0.5235109717868338,0.5304054054054054,0.5054545454545455,0.5045871559633027,0.5358166189111748,0.47198417930125247,0.42459893048128344,0.3897058823529412,0.38016528925619836,0.29508196721311475,0.3448275862068966,Donetsk
Житомирська,0.5588761632068718,-,0.6666666666666666,0.6238894373149062,0.6362442547603414,0.5333723653395784,0.5518660812294183,0.5334865397242285,0.5091678420310296,0.538655886811521,0.56071076011846,0.6013363028953229,0.6454545454545455,0.6440677966101694,0.6607929515418502,0.6735751295336787,0.6827956989247311,0.58,0.5984848484848485,0.6242038216560509,0.5581395348837209,0.6081081081081081,0.6101190476190477,0.5488565488565489,0.5582329317269076,0.5208333333333334,0.5757575757575758,0.2727272727272727,Zhytomyr
Закарпатська,0.36339798139718976,-,0.42857142857142855,0.3703256936067551,0.34252669039145905,0.36081277213352686,0.3850381679389313,0.3614457831325301,0.3602915654286706,0.37780834479596515,0.338958180484226,0.37433155080213903,0.32644628099173556,0.4634146341463415,0.4430379746835443,0.5054945054945055,0.3645833333333333,0.3780487804878049,0.25333333333333335,0.2602739726027397,0.3559322033898305,0.3287671232876712,0.2849162011173184,0.34615384615384615,0.3082706766917293,0.3283582089552239,0.34285714285714286,0.6666666666666666,Zakarpattya
Запорізька,0.4521396970376562,-,-,0.6328293736501079,0.6110458284371327,0.4418432725480532,0.4331976641302424,0.4365546887438306,0.4413021063485049,0.4526260687489094,0.4906789413118527,0.5251439539347409,0.5526695526695526,0.4988814317673378,0.5006711409395973,0.4855072463768116,0.48255813953488375,0.4672131147540984,0.41282565130260523,0.4246575342465753,0.41929133858267714,0.3939393939393939,0.39124893797790994,0.368798955613577,0.3544921875,0.3176470588235294,0.4550561797752809,0.4375,Zaporizhzhya
Івано-Франківська,0.4311618952990126,-,0.23076923076923078,0.4418291862811029,0.4320197044334975,0.40406275140788417,0.4250791417516708,0.41135288552507093,0.4267094445558452,0.42857142857142855,0.47152480097979177,0.5070866141732283,0.449685534591195,0.5524861878453039,0.541095890410959,0.46825396825396826,0.5178571428571429,0.5217391304347826,0.5360824742268041,0.47474747474747475,0.45348837209302323,0.5,0.526829268292683,0.5136363636363637,0.5630252100840336,0.5945945945945946,0.9230769230769231,0.7142857142857143,Ivano-Frankivsk
Київська,0.49941483136503884,-,-,0.5675675675675675,0.5593525179856115,0.4670926517571885,0.49757815940114486,0.45901639344262296,0.473426001635323,0.46081651806663537,0.503233392122281,0.607487922705314,0.6207627118644068,0.6287425149700598,0.6216216216216216,0.6265560165975104,0.5990566037735849,0.5363128491620112,0.5428571428571428,0.5166666666666667,0.5056818181818182,0.44021739130434784,0.5154185022026432,0.4713804713804714,0.4005681818181818,0.4425287356321839,0.43859649122807015,0.4117647058823529,Kyiv
