region,total_2020,total_2024,net_change,reorganizations_negative,closed_violations,military_destroyed,natural_optimization,received_displaced,reorganizations_positive,notes
м. Київ,97,83,-14,-2,0,0,-12,3,0,"Прийняв: Маріупольський ДУ, Таврійський НУ (2014), частково інші. Реорг: ДУІТ→НТУ, НДІ→КНУ"
Вінницька,17,11,-6,-1,0,0,-5,1,0,"Прийняв: Донецький НУ. Реорг: можлива 1"
Волинська,10,7,-3,0,0,0,-3,1,0,"Прийняв: Донецький НТУ"
Дніпропетровська,51,26,-25,-2,0,0,-20,3,0,"Прийняв: Приазовський ДТУ, ЛНАУ, Горлівський інститут. Реорг: УДХТУ+Держакадемія будівництва, Держакадемія фізкультури→УДУНТ"
Донецька,21,13,-8,0,0,-2,-6,0,0,"ПРОГНОЗ. Зруйновані: 2 (Маріуполь). Природна оптимізація через окупацію/переміщення"
Житомирська,12,4,-8,-1,0,0,-7,0,0,"Реорг: можлива 1"
Закарпатська,9,7,-2,0,0,0,-2,0,0,"Без значних змін"
Запорізька,16,13,-3,0,-1,0,-2,0,0,"Закритий: Класичний приватний університет (2024, порушення ліцензування)"
Івано-Франківська,13,11,-2,0,0,0,-4,2,0,"Прийняла: Херсонський ДУ, ДонНАБА"
Київська,12,8,-4,0,0,0,-4,0,0,"Область (не місто). Природна оптимізація"
Кіровоградська,9,8,-1,0,0,0,-1,0,0,"Мінімальні зміни"
Луганська,10,6,-4,0,0,-1,-3,0,0,"ПРОГНОЗ. Частково окупована. 1 можливо зруйнований/пошкоджений"
Львівська,33,21,-12,-3,0,0,-9,0,0,"Реорг: УАД→Політехніка, Інститут фізоптики→ЛНУ Франка, ЛНУ природокористування→ЛНУ ветмедицини"
Миколаївська,11,8,-3,0,-1,0,-2,0,0,"Закритий: Міжнародний технологічний університет Миколаївська політехніка (2024, порушення)"
Одеська,31,19,-12,-3,0,0,-9,0,0,"Реорг: ОНЕУ→ОНУ, NU Одеська юридична→ОНУ, Фізико-хімічний інститут→ОНУ Мечникова"
Полтавська,13,8,-5,0,0,0,-5,1,0,"Прийняла: Луганський НУ ім. Шевченка"
Рівненська,11,8,-3,0,0,0,-3,1,0,"Прийняла: Луганський ДМУ"
Сумська,7,5,-2,0,0,0,-2,0,0,"Природна оптимізація"
Тернопільська,11,6,-5,0,0,0,-5,0,0,"Природна оптимізація"
Харківська,55,28,-27,-1,0,-1,-25,0,0,"Пошкоджений: ХНУ Каразіна (серйозно, але працює). Реорг: УІПА→ХНУ Каразіна"
Херсонська,13,9,-4,0,0,-1,-3,0,0,"ПРОГНОЗ. Зруйнований: 1 повністю + 11 пошкоджених. Переміщений: Херсонський ДУ→Івано-Франківськ"
Хмельницька,18,11,-7,-1,0,0,-6,0,0,"Реорг: Кам'янець-Подільський НУ→Подільський ДУ ім. Огієнка"
Черкаська,15,8,-7,-1,0,0,-6,0,0,"Реорг: Уманський держпедуніверситет→Уманський НУ"
Чернівецька,11,4,-7,0,0,0,-7,0,0,"Значна природна оптимізація"
Чернігівська,9,6,-3,0,0,0,-3,0,0,"Природна оптимізація"
