region,damaged,destroyed,total_affected,has_damage
Вінницька,2,0,2,True
Волинська,0,0,0,False
Дніпропетровська,15,1,16,True
Донецька,3,2,5,True
Житомирська,5,0,5,True
Закарпатська,0,0,0,False
Запорізька,7,0,7,True
Івано-Франківська,2,0,2,True
Київська,2,0,2,True
Кіровоградська,2,0,2,True
Луганська,3,0,3,True
Львівська,3,0,3,True
м. Київ,16,0,16,True
Миколаївська,5,0,5,True
Одеська,14,0,14,True
Полтавська,1,0,1,True
Рівненська,0,0,0,False
Сумська,4,0,4,True
Тернопільська,1,0,1,True
Харківська,33,0,33,True
Херсонська,11,1,12,True
Хмельницька,0,0,0,False
Черкаська,3,0,3,True
Чернівецька,0,0,0,False
Чернігівська,5,0,5,True
